personId,firstName,lastName,birthDate,height,weight,nbSeasons,jerseyNumber,position,startYear,endYear,draftYear,draftRound,draftNumber
420,Jayson,Williams,1968-02-22,205.0,108.0,9,,Forward,1990,1998,1990,1,21
422,Avery,Johnson,1965-03-25,180.0,83.0,17,6.0,Guard,1988,2003,Undrafted,Undrafted,Undrafted
423,Chris,Gatling,1967-09-03,,,11,,Forward,1991,2001,1991,1,16
426,Terry,Davis,1967-06-17,208.0,122.0,10,54.0,Center-Forward,1989,2000,Undrafted,Undrafted,Undrafted
428,Sherman,Douglas,1966-09-15,,,12,,Guard,1989,2000,1989,2,28
431,Shawn,Kemp,1969-11-26,208.0,127.0,15,40.0,Forward,1989,2002,1989,1,17
432,Pete,Chilcutt,1968-09-14,208.0,111.0,9,24.0,Forward,1991,1999,1991,1,27
433,Buck,Williams,1960-03-08,203.0,102.0,17,52.0,Forward,1981,1997,1981,1,3
434,Tony,Dumas,1972-08-25,198.0,86.0,4,,Guard,1994,1997,1994,1,19
435,Carlos,Rogers,1971-02-06,210.0,105.0,8,6.0,Forward-Center,1994,2001,1994,1,11
436,Juwan,Howard,1973-02-07,205.0,113.0,20,5.0,Forward,1994,2012,1994,1,5
440,Zan,Tabak,1970-06-15,213.0,116.0,6,55.0,Center,1994,2000,1991,2,51
441,Lamond,Murray,1973-04-20,200.0,106.0,11,31.0,Forward,1994,2005,1994,1,7
442,Pervis,Ellison,1967-04-03,,,11,,Center,1989,2000,1989,1,1
445,Wesley,Person,1971-03-28,198.0,90.0,12,10.0,Guard-Forward,1994,2004,1994,1,23
446,Lucious,Harris,1970-12-18,195.0,92.0,12,,Guard,1993,2004,1993,2,28
448,Bo,Outlaw,1971-04-13,203.0,99.0,15,,Forward,1993,2007,Undrafted,Undrafted,Undrafted
452,Vin,Baker,1971-11-23,210.0,108.0,13,34.0,Forward,1993,2005,1993,1,8
456,Chuck,Person,1964-06-27,203.0,109.0,13,45.0,Forward,1986,1999,1986,1,4
457,Andrew,Lang,1966-06-28,210.0,124.0,12,28.0,Center,1988,1999,1988,2,28
458,Howard,Eisley,1972-12-04,187.0,83.0,12,10.0,Guard,1994,2005,1994,2,30
460,Trevor,Ruffin,1970-09-26,185.0,90.0,2,8.0,Guard,1994,1995,Undrafted,Undrafted,Undrafted
461,Popeye,Jones,1970-06-17,203.0,120.0,12,54.0,Forward,1993,2003,1992,2,41
462,J.R.,Reid,1968-03-31,,,11,,Forward,1989,2000,1989,1,5
467,Jason,Kidd,1973-03-23,193.0,95.0,19,5.0,Guard,1994,2012,1994,1,2
468,Jon,Barry,1969-07-25,195.0,95.0,14,,Guard,1992,2005,1992,1,21
469,Jamal,Mashburn,1972-11-29,203.0,112.0,12,24.0,Forward,1993,2003,1993,1,4
470,Doc,Rivers,1961-10-13,193.0,95.0,13,25.0,Guard,1983,1995,1983,2,31
475,Doug,Smith,1969-09-17,208.0,99.0,5,34.0,Forward,1991,1995,1991,1,6
511,Melvin,Booker,1972-08-20,187.0,83.0,2,5.0,Guard,1995,1996,Undrafted,Undrafted,Undrafted
671,Donnie,Boyce,1973-09-02,195.0,88.0,2,,Guard,1995,1996,1995,2,42
672,Matt,Bullard,1967-06-05,208.0,103.0,12,50.0,Forward,1990,2002,Undrafted,Undrafted,Undrafted
673,Alan,Henderson,1972-12-02,205.0,108.0,13,44.0,Forward-Center,1995,2006,1995,1,16
674,Reggie,Jordan,1968-01-26,193.0,88.0,6,,Guard,1993,1999,Undrafted,Undrafted,Undrafted
675,Junior,Burrough,1973-01-18,203.0,109.0,1,5.0,Forward,1995,1995,1995,2,33
676,Thomas,Hamilton,1975-04-03,218.0,149.0,3,55,Center,1995,2002,Undrafted,Undrafted,Undrafted
677,Eric,Williams,1972-07-17,203.0,99.0,12,,Guard-Forward,1995,2006,1995,1,14
678,George,Zidek,1973-08-02,213.0,113.0,3,,Center,1995,1997,1995,1,22
679,Jason,Caffey,1973-06-12,203.0,116.0,9,35,Forward,1995,2002,1995,1,20
680,John,Amaechi,1970-11-26,208.0,122.0,6,13,Forward-Center,1995,2002,Undrafted,Undrafted,Undrafted
681,Donny,Marshall,1972-07-17,200.0,104.0,6,13,Forward,1995,2002,1995,2,39
682,Bob,Sura,1973-03-25,195.0,90.0,11,3,Guard,1995,2006,1995,1,17
684,Loren,Meyer,1972-12-30,208.0,117.0,3,34,Center-Forward,1995,1998,1995,1,24
685,Cherokee,Parks,1972-10-11,210.0,108.0,9,,Forward-Center,1995,2003,1995,1,12
686,Antonio,McDyess,1974-09-07,205.0,111.0,16,34,Forward-Center,1995,2010,1995,1,2
688,Michael,Curry,1968-08-22,195.0,95.0,11,,Forward-Guard,1993,2004,Undrafted,Undrafted,Undrafted
